titulo,autores,editorial,fecha_publicacion,isbn,numero_paginas,genero,idioma
The Rest of the Robots,Isaac Asimov,Granada Publishing in Panther books,2064-10-30,9780586025949,224,"['Science Fiction', 'Fiction', 'Short Stories', 'Classics', 'Robots', 'Anthologies', 'Fantasy', 'Collections', 'Science Fiction Fantasy', 'Short Story Collection']",English
Matilda's Last Waltz,Tamara McKinley,St. Martin's Press,1999-10-29,9780312262020,440,"['Historical Fiction', 'Romance', 'Australia', 'Fiction', 'Roman', 'Drama', 'Historical', 'France', 'Relationships', 'Adult']",English
The Country Wife,"William Wycherley, James Ogden (Editor)",A & C Black Publishers Ltd.,1975-11-06,9780713632873,208,"['Plays', 'Classics', 'Drama', 'Fiction', 'School', 'Theatre', '17th Century', 'British Literature', 'College', 'Humor']",English
Gorillas in the Mist,Dian Fossey,Mariner Books,1983-08-25,9780618083602,326,"['Nonfiction', 'Science', 'Animals', 'Africa', 'Biography', 'Memoir', 'Nature', 'Anthropology', 'Biology', 'Biography Memoir']",English
"Uncle Remus; or, The Story of Mr. Fox and Brer Rabbit",Joel Chandler Harris,Adamant Media Corporation,1881-01-01,9780140390148,180,"['Fiction', 'Classics', 'Folklore', 'Childrens', 'Literature', 'Fantasy', 'Short Stories', 'Russia', 'Folk Tales', 'American']",English
Rifles for Watie,Harold Keith,HarperTeen,2057-10-28,9780064470308,352,"['Historical Fiction', 'Young Adult', 'Fiction', 'Civil War', 'Historical', 'War', 'Childrens', 'Classics', 'Adventure', 'School']",English
Devil's Cub,Georgette Heyer,Arrow,2032-10-29,9780099465836,288,"['Romance', 'Historical Fiction', 'Historical Romance', 'Historical', 'Regency', 'Fiction', 'Regency Romance', 'Classics', 'Georgian', 'British Literature']",English
The Long Shadow,Cynthia Harrod-Eagles,"Little, Brown Book Group",1983-07-14,9780751506433,367,"['Historical Fiction', 'Historical', 'Fiction', 'British Literature', 'Romance', 'Stuart', '17th Century', 'Historical Romance']",English
The Mind in the Making: The Relation of Intelligence to Social Reform - Complete English Version,"James Harvey Robinson, Joseph Anthony Amoroso (Translator)",Createspace Independent Publishing Platform,2021-01-01,9781450578011,278,"['Psychology', 'Philosophy', 'Nonfiction', 'Self Help', 'Society', 'Personal Development', 'Education', 'Science']",English
Just a Couple of Days,Tony Vigorito (Goodreads Author),Mariner Books,2001-09-01,9780156031226,400,"['Fiction', 'Science Fiction', 'Humor', 'Fantasy', 'Novels', 'Comedy', 'Literature', 'Science Fiction Fantasy', '21st Century', 'Speculative Fiction']",English
Le Fléau 1/2,"Stephen King (Goodreads Author), Jean-Pierre Quijano (Translator)",Le Livre de Poche,1978-11-06,9782253151418,764,"['Horror', 'Roman', 'Fiction', 'Science Fiction', 'American', 'Post Apocalyptic']",French
Man's Search for Himself,Rollo May,Souvenir Press Ltd,2053-04-01,9780285621374,284,"['Psychology', 'Philosophy', 'Nonfiction', 'Self Help', 'Spirituality', 'Personal Development', 'Sociology', 'Unfinished', 'Classics', 'Writing']",English
"The Daily Coyote: Story of Love, Survival, and Trust In the Wilds of Wyoming",Shreve Stockton,Simon & Schuster,2008-11-06,9781416592181,287,"['Nonfiction', 'Animals', 'Memoir', 'Nature', 'Biography', 'Photography', 'Wildlife', 'Autobiography', 'Biography Memoir', 'Westerns']",English
Remembering,C.S. Johnson (Goodreads Author),C. S. Johnson,2016-03-06,B01DN2CTRS,285,['Fantasy'],English
Ghosthunter: Investigating the World of Ghosts & Spirits,"Eddie Burks, Gillian Cribbs",Trafalgar Square Publishing,1995-05-04,9780747247173,416,[],English
Chocolate Wishes,Trisha Ashley,Avon,2010-10-30,9781847561145,376,"['Chick Lit', 'Romance', 'Fiction', 'Contemporary', 'Adult', 'Contemporary Romance', 'British Literature', 'Magic', 'Christmas', 'Family']",English
Tex,"S.E. Hinton (Goodreads Author), Miguel Martinez-Lage",Alfaguara,1979-08-15,9788420439242,224,"['Young Adult', 'Fiction', 'Classics', 'Realistic Fiction', 'Coming Of Age', 'Teen', 'Contemporary', 'Childrens', 'Drama', 'Novels']",English
The Thief of Always,Clive Barker (Goodreads Author),HarperCollins Publishers,1992-10-28,9780060177249,225,"['Fantasy', 'Horror', 'Fiction', 'Young Adult', 'Childrens', 'Adventure', 'Middle Grade', 'Supernatural', 'Dark Fantasy', 'Magic']",English
Sally,Freya North (Goodreads Author),Arrow,1996-11-04,9780749323387,326,"['Chick Lit', 'Fiction', 'Romance', 'Novels', 'Contemporary']",English
Nightfall and Other Stories,Isaac Asimov,Del Rey,1969-01-01,9780345310910,350,"['Science Fiction', 'Short Stories', 'Fiction', 'Anthologies', 'Science Fiction Fantasy', 'Collections', 'Classics', 'Speculative Fiction', 'Fantasy', 'American']",English
Middle Damned,Shane Stilson,Wayman Publishing,2012-01-01,9781478206286,348,[],English
A Company of Swans,Eva Ibbotson,Speak,1985-07-01,9780142409404,374,"['Historical Fiction', 'Romance', 'Young Adult', 'Historical', 'Fiction', 'Historical Romance', 'Teen', 'Adult', '20th Century', 'Chick Lit']",English
"MeruPuri, Vol. 3",Matsuri Hino,VIZ Media,2004-04-05,9781421502212,192,"['Manga', 'Fantasy', 'Romance', 'Graphic Novels', 'Shojo', 'Magic', 'Young Adult', 'Comics', 'Fiction', 'Paranormal']",English
Secret of the Slaves,"Alex Archer (pseudonym), Victor Milán",Gold Eagle,2007-09-01,9780373621262,352,"['Fantasy', 'Adventure', 'Fiction', 'Urban Fantasy', 'Action', 'Mystery', 'Archaeology', 'Paranormal', 'Supernatural', 'Contemporary']",English
Prince of Thorns,Mark Lawrence (Goodreads Author),Voyager,2011-10-28,9780007423293,373,"['Fantasy', 'Fiction', 'Dark Fantasy', 'Epic Fantasy', 'High Fantasy', 'Adult', 'Dark', 'Young Adult', 'Post Apocalyptic', 'Science Fiction']",English
Understanding Symbolic Logic,Virginia Klenk,Pearson,1983-03-30,9780132051521,461,"['Philosophy', 'Logic', 'Nonfiction', 'Reference', 'Programming', 'Science']",English
It Shouldn't Happen to a Vet,James Herriot,Pan Macmillan,1972-10-30,9780330443463,229,"['Nonfiction', 'Animals', 'Humor', 'Memoir', 'Autobiography', 'Classics', 'Comedy', 'Biography', 'Biography Memoir', 'British Literature']",English
Royal Holiday Baby,Leanne Banks,Silhouette Special Edition,2010-09-17,9780373655571,224,"['Romance', 'Contemporary', 'Contemporary Romance', 'Fiction', 'Harlequin']",English
Clemencia,Ignacio Manuel Altamirano,Grupo Editorial tomo,1969-10-30,9999999999999,221,"['Romance', 'Fiction', 'Historical Fiction', 'Literature', 'Classics', 'Novels', 'Spanish Literature']",Spanish
The President's Lady,Irving Stone,Thomas Nelson,2051-01-01,9781558534315,352,"['Historical Fiction', 'Fiction', 'American History', 'Historical', 'Classics', 'Presidents', 'Historical Romance', 'Romance', 'Politics', 'Book Club']",English
All Over But the Shoutin',Rick Bragg,Vintage,1997-08-26,9780679774020,329,"['Memoir', 'Nonfiction', 'Biography', 'Biography Memoir', 'Southern', 'Autobiography', 'History', 'Poverty', 'Book Club', 'Family']",English
